"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 16 19:31:16 GMT 2022","Mon May 16 19:31:19 GMT 2022","2890","","Manage pet API services","","Find Pet by id","","Find Pet by id",""
"passed","Mon May 16 19:31:09 GMT 2022","Mon May 16 19:31:16 GMT 2022","6722","","Manage pet API services","","Add Pet","","Add Pet",""
"passed","Mon May 16 19:31:29 GMT 2022","Mon May 16 19:31:35 GMT 2022","6087","","Login y Logout","","Login Successful","","Login Successful",""
"broken","Mon May 16 19:31:23 GMT 2022","Mon May 16 19:31:29 GMT 2022","6576","","By Articles","","To add a laptop to the shopping cart","","To add a laptop to the shopping cart",""
"passed","Mon May 16 19:31:19 GMT 2022","Mon May 16 19:31:23 GMT 2022","3821","","Manage pet API services","","Update an existing pet","","Update an existing pet",""
"passed","Mon May 16 19:31:35 GMT 2022","Mon May 16 19:31:40 GMT 2022","4327","","Register a user","","Register a user Successful","","Register a user Successful",""
